序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1、您的性别：,2、您的年龄：,3、您的职业：,4、您的月收入（人民币）:,5、您每天使用社交媒体的时长大约是多少？,6、您是否了解始祖鸟（Arc'teryx）品牌？,7、您通过以下哪些渠道接触过始祖鸟品牌?,8、始祖鸟的社交媒体内容对您的吸引力如何?,9、您是否曾与始祖鸟的社交媒体账号互动?,10、您更倾向于哪种互动方式？（可多选）,11、您认为始祖鸟社交媒体互动的体验如何？,12、您对始祖鸟品牌的印象如何？（可多选）,13、始祖鸟社交媒体是否增加了您对品牌的了解？,14、您是否因社交媒体内容购买过始祖鸟产品？,15、您最常通过以下哪种途径购买？（可多选）,16、阻碍您购买的原因是什么？（可多选）,17、您对始祖鸟社交媒体的整体满意度如何？,18、您认为始祖鸟社交媒体内容有哪些需要改进的地方？（可多选）,您对始祖鸟社交媒体营销有哪些建议或想法？请简要描述。
74,2025/4/1 12:31:29,26秒,微信,N/A,171.114.171.170(湖北-咸宁),女,26-35岁,政府机关工作人员,3000-8000元,5小时以上,不太了解,其他：,完全不吸引,从未互动,其他：,非常差,其他：,完全没有,否,(跳过),其他：,非常不满意,其他：,(空)
75,2025/4/1 12:31:54,116秒,微信,N/A,39.144.55.232(辽宁-辽阳),女,18-25岁,其他,15000元以上,1-3小时,略有了解,线下店铺,一般,从未互动,观看直播,一般,价格较高,一般,否,(跳过),价格过高,一般,创意和设计感┋客户服务／售后服务,(空)
76,2025/4/1 12:32:05,84秒,微信,N/A,39.144.55.161(辽宁-辽阳),女,26-35岁,其他,3000元以下,1-3小时,略有了解,线下店铺,一般,从未互动,观看直播,比较好,高端户外品牌,一般,否,(跳过),价格过高,比较满意,信息实用性,(空)
77,2025/4/1 12:32:41,88秒,微信,N/A,117.136.1.117(天津-天津),女,26-35岁,政府机关工作人员,3000-8000元,5小时以上,略有了解,小红书┋其他：〖播客〗,一般,从未互动,点赞┋观看直播,一般,高端户外品牌┋价格较高,完全没有,否,(跳过),价格过高┋不需要相关产品,一般,其他：〖不熟悉〗,(空)
78,2025/4/1 12:36:11,220秒,微信,N/A,39.144.53.41(辽宁-朝阳),女,26-35岁,政府机关工作人员,3000-8000元,1-3小时,非常了解,微信公众号┋微博┋抖音/快手┋线下店铺,比较吸引,很少互动,分享到个人社交圈┋参与话题活动┋观看直播,非常好,专业性强┋广告／宣传设计时尚,很多,是,官方电商平台┋第三方电商平台（如天猫、京东）┋线下专卖店,(跳过),非常满意,内容丰富度┋与用户互动性┋创意和设计感,(空)
79,2025/4/1 12:36:46,150秒,微信,N/A,120.219.208.18(河南-濮阳),女,36-45岁,政府机关工作人员,8000-15000元,1-3小时,不太了解,社交媒体广告(如朋友圈广告),一般,从未互动,观看直播,一般,价格较高,一些,否,(跳过),产品信息不够清楚,一般,信息实用性,无
80,2025/4/1 12:57:54,69秒,微信,N/A,39.144.53.13(辽宁-朝阳),女,26-35岁,其他,3000-8000元,1-3小时,略有了解,品牌宫网,非常吸引,经常互动(点赞、评论、分享等),点赞┋评论┋分享到个人社交圈┋参与话题活动┋私信交流┋观看直播,非常好,高端户外品牌┋专业性强┋价格较高┋环保可持续┋产品设计时尚┋广告／宣传设计时尚,很多,是,官方电商平台┋第三方电商平台（如天猫、京东）┋线下专卖店┋朋友代购┋社交媒体平台链接／小程序,(跳过),非常满意,内容丰富度┋与用户互动性┋创意和设计感┋信息实用性┋发布频率┋客户服务／售后服务,(空)
81,2025/4/1 12:59:56,111秒,微信,N/A,110.86.217.118(福建-厦门),男,26-35岁,企业职员,8000-15000元,少于1小时,略有了解,抖音/快手┋朋友推荐,一般,从未互动,观看直播,一般,高端户外品牌┋价格较高┋广告／宣传设计时尚,一些,否,(跳过),价格过高,一般,内容丰富度┋与用户互动性,(空)
82,2025/4/1 13:02:57,83秒,微信,N/A,223.102.86.53(辽宁-大连),男,26-35岁,政府机关工作人员,8000-15000元,5小时以上,非常了解,线下店铺,比较吸引,很少互动,点赞,比较好,高端户外品牌┋价格较高┋广告／宣传设计时尚,很多,是,线下专卖店┋朋友代购,(跳过),比较满意,内容丰富度┋创意和设计感,(空)
83,2025/4/1 13:03:27,76秒,微信,N/A,39.144.81.40(天津-天津),男,26-35岁,政府机关工作人员,8000-15000元,1-3小时,略有了解,微信公众号┋微博┋品牌宫网┋朋友推荐┋线下店铺┋社交媒体广告(如朋友圈广告),比较吸引,偶尔互动,点赞┋评论┋分享到个人社交圈,比较好,高端户外品牌┋专业性强,一些,是,官方电商平台┋第三方电商平台（如天猫、京东）┋线下专卖店┋朋友代购,(跳过),比较满意,内容丰富度┋与用户互动性┋创意和设计感┋发布频率,(空)
84,2025/4/1 13:04:27,75秒,微信,N/A,113.251.7.37(重庆-重庆),女,26-35岁,政府机关工作人员,8000-15000元,5小时以上,略有了解,微博┋小红书┋社交媒体广告(如朋友圈广告),一般,从未互动,观看直播,比较好,高端户外品牌,一些,否,(跳过),价格过高,一般,信息实用性┋客户服务／售后服务,(空)
85,2025/4/1 13:04:51,60秒,微信,N/A,223.102.69.159(辽宁-大连),男,18-25岁,政府机关工作人员,3000-8000元,5小时以上,非常了解,微信公众号┋微博┋小红书┋抖音/快手┋品牌宫网,非常吸引,很少互动,观看直播,一般,其他：〖装逼〗,一般,是,线下专卖店┋朋友代购,(跳过),一般,创意和设计感,(空)
86,2025/4/1 13:05:34,22秒,微信,N/A,39.144.59.118(辽宁-沈阳),男,26-35岁,企业职员,15000元以上,少于1小时,非常了解,微信公众号,比较吸引,很少互动,私信交流,比较好,环保可持续,一般,否,(跳过),不需要相关产品,比较满意,与用户互动性,(空)
87,2025/4/1 13:05:35,33秒,微信,N/A,42.84.232.147(辽宁-大连),男,26-35岁,其他,3000元以下,少于1小时,完全不了解,微信公众号,非常吸引,经常互动(点赞、评论、分享等),点赞,非常好,高端户外品牌,很多,是,官方电商平台,(跳过),非常满意,内容丰富度,(空)
88,2025/4/1 13:06:19,19秒,微信,N/A,223.102.69.159(辽宁-大连),男,18-25岁,企业职员,8000-15000元,5小时以上,不太了解,品牌宫网,不太吸引,很少互动,观看直播,较差,环保可持续,较少,是,第三方电商平台（如天猫、京东）,(跳过),非常满意,内容丰富度,(空)
89,2025/4/1 13:14:34,181秒,微信,N/A,39.144.58.180(辽宁-铁岭),男,18-25岁,政府机关工作人员,3000-8000元,1-3小时,略有了解,微信公众号┋朋友推荐┋线下店铺,比较吸引,偶尔互动,分享到个人社交圈┋观看直播,比较好,高端户外品牌┋价格较高,一些,是,官方电商平台┋第三方电商平台（如天猫、京东）,(跳过),非常满意,内容丰富度┋与用户互动性┋创意和设计感,希望有更多突出产品调性的设计
90,2025/4/1 13:21:35,51秒,微信,N/A,27.149.86.6(福建-福州),男,26-35岁,企业职员,8000-15000元,3-5小时,完全不了解,朋友推荐,一般,从未互动,点赞,一般,高端户外品牌,一般,否,(跳过),购买流程不便捷,一般,信息实用性,(空)
91,2025/4/1 13:24:50,94秒,微信,N/A,182.204.38.103(辽宁-铁岭),男,46岁及以上,其他,8000-15000元,1-3小时,略有了解,微信公众号┋抖音/快手┋品牌宫网┋社交媒体广告(如朋友圈广告)┋其他：,比较吸引,偶尔互动,点赞┋观看直播┋其他：,比较好,高端户外品牌,一般,否,(跳过),价格过高,比较满意,创意和设计感┋信息实用性┋其他：,(空)
92,2025/4/1 13:25:55,167秒,微信,N/A,123.246.53.205(辽宁-大连),男,46岁及以上,政府机关工作人员,8000-15000元,3-5小时,略有了解,线下店铺,非常吸引,偶尔互动,点赞┋其他：,非常好,高端户外品牌┋专业性强┋价格较高┋环保可持续┋产品设计时尚┋广告／宣传设计时尚┋其他：,很多,是,官方电商平台┋第三方电商平台（如天猫、京东）┋线下专卖店,(跳过),非常满意,内容丰富度┋与用户互动性┋创意和设计感┋信息实用性┋发布频率┋客户服务／售后服务┋其他：,(空)
93,2025/4/1 13:30:58,23秒,微信,N/A,116.22.1.20(广东-广州),男,18-25岁,其他,15000元以上,3-5小时,完全不了解,抖音/快手,比较吸引,很少互动,点赞,非常好,高端户外品牌,很多,是,线下专卖店,(跳过),比较满意,信息实用性,(空)
94,2025/4/1 13:36:01,89秒,微信,N/A,39.144.53.146(辽宁-朝阳),男,26-35岁,政府机关工作人员,8000-15000元,少于1小时,非常了解,线下店铺,一般,从未互动,参与话题活动,一般,高端户外品牌┋专业性强┋价格较高┋产品设计时尚,完全没有,否,(跳过),产品信息不够清楚,一般,内容丰富度┋与用户互动性┋信息实用性,(空)
95,2025/4/1 13:43:21,121秒,微信,N/A,39.144.57.57(辽宁-阜新),男,26-35岁,政府机关工作人员,3000-8000元,3-5小时,略有了解,微信公众号┋微博┋小红书┋抖音/快手┋品牌宫网┋朋友推荐┋线下店铺┋社交媒体广告(如朋友圈广告),非常吸引,经常互动(点赞、评论、分享等),点赞┋参与话题活动┋私信交流┋观看直播,非常好,高端户外品牌┋专业性强┋价格较高┋环保可持续┋产品设计时尚┋广告／宣传设计时尚,很多,是,官方电商平台┋第三方电商平台（如天猫、京东）┋社交媒体平台链接／小程序,(跳过),比较满意,内容丰富度┋与用户互动性┋创意和设计感┋信息实用性┋发布频率┋客户服务／售后服务,请线下实体店的店员谦逊一点，不要傲慢无礼。
96,2025/4/1 13:48:30,117秒,微信,N/A,60.179.215.165(浙江-宁波),女,26-35岁,企业职员,3000-8000元,3-5小时,略有了解,小红书┋抖音/快手,比较吸引,从未互动,观看直播,一般,高端户外品牌┋价格较高┋产品设计时尚,一些,否,(跳过),价格过高┋购买流程不便捷,一般,创意和设计感┋客户服务／售后服务,(空)
97,2025/4/1 13:59:39,88秒,微信,N/A,182.204.2.17(辽宁-沈阳),男,18-25岁,政府机关工作人员,3000-8000元,5小时以上,略有了解,朋友推荐┋社交媒体广告(如朋友圈广告),不太吸引,很少互动,分享到个人社交圈┋参与话题活动,一般,高端户外品牌┋专业性强┋价格较高,很多,否,(跳过),价格过高,一般,与用户互动性┋信息实用性┋发布频率,(空)
98,2025/4/1 14:01:31,100秒,微信,N/A,221.203.33.185(辽宁-鞍山),男,46岁及以上,政府机关工作人员,8000-15000元,3-5小时,略有了解,微信公众号┋微博┋小红书┋抖音/快手┋品牌宫网┋朋友推荐┋线下店铺┋社交媒体广告(如朋友圈广告),一般,从未互动,点赞┋评论┋分享到个人社交圈┋参与话题活动┋私信交流┋观看直播,一般,高端户外品牌┋专业性强┋价格较高,一些,否,(跳过),价格过高┋不需要相关产品┋品牌吸引力不足┋产品信息不够清楚,一般,内容丰富度┋与用户互动性┋创意和设计感,(空)
99,2025/4/1 14:28:25,82秒,微信,N/A,116.130.28.85(天津-天津),男,26-35岁,学生,8000-15000元,1-3小时,略有了解,朋友推荐,一般,从未互动,私信交流,一般,环保可持续,一般,否,(跳过),价格过高,一般,信息实用性,(空)
100,2025/4/1 14:28:57,95秒,微信,N/A,42.87.245.157(辽宁-阜新),女,26-35岁,政府机关工作人员,3000-8000元,5小时以上,略有了解,品牌宫网┋线下店铺,一般,从未互动,观看直播,一般,专业性强,一些,否,(跳过),购买流程不便捷,一般,信息实用性,(空)
101,2025/4/1 14:32:58,209秒,微信,N/A,58.62.42.38(广东-广州),女,26-35岁,其他,8000-15000元,3-5小时,略有了解,小红书┋品牌宫网┋朋友推荐┋线下店铺,比较吸引,很少互动,点赞┋观看直播,比较好,高端户外品牌┋专业性强┋价格较高┋产品设计时尚,一些,否,(跳过),产品信息不够清楚,一般,信息实用性┋客户服务／售后服务,(空)
102,2025/4/1 14:35:29,355秒,微信,N/A,175.167.128.92(辽宁-沈阳),男,26-35岁,政府机关工作人员,3000-8000元,少于1小时,略有了解,小红书┋朋友推荐,比较吸引,很少互动,点赞┋私信交流,比较好,高端户外品牌,很多,否,(跳过),价格过高,比较满意,内容丰富度┋与用户互动性,(空)
103,2025/4/1 14:35:47,82秒,微信,N/A,120.239.137.87(广东-湛江),女,26-35岁,政府机关工作人员,3000-8000元,1-3小时,不太了解,微信公众号┋微博┋小红书┋抖音/快手,一般,从未互动,点赞┋评论,一般,高端户外品牌┋价格较高┋产品设计时尚┋广告／宣传设计时尚,一些,否,(跳过),价格过高┋不需要相关产品┋品牌吸引力不足,一般,创意和设计感┋客户服务／售后服务,(空)
104,2025/4/1 14:37:31,46秒,微信,N/A,223.104.228.154(天津-天津),男,26-35岁,政府机关工作人员,8000-15000元,1-3小时,略有了解,微信公众号,非常吸引,经常互动(点赞、评论、分享等),点赞,非常好,高端户外品牌,很多,是,官方电商平台,(跳过),非常满意,内容丰富度,无
105,2025/4/1 14:40:03,1311秒,微信,N/A,183.252.2.247(福建-厦门),男,26-35岁,企业职员,8000-15000元,1-3小时,略有了解,微信公众号┋小红书┋抖音/快手,一般,很少互动,点赞┋参与话题活动,比较好,高端户外品牌┋专业性强,一些,否,(跳过),不需要相关产品,一般,与用户互动性┋创意和设计感,(空)
106,2025/4/1 14:41:53,130秒,微信,N/A,223.104.53.114(福建-泉州),男,26-35岁,政府机关工作人员,3000-8000元,3-5小时,不太了解,小红书┋社交媒体广告(如朋友圈广告),一般,很少互动,点赞┋观看直播,比较好,高端户外品牌┋专业性强┋价格较高,一些,否,(跳过),品牌吸引力不足,比较满意,内容丰富度┋与用户互动性,(空)
107,2025/4/1 14:43:13,55秒,微信,N/A,27.149.112.253(福建-福州),男,26-35岁,其他,3000元以下,3-5小时,不太了解,小红书┋朋友推荐,一般,从未互动,点赞,一般,价格较高,较少,否,(跳过),价格过高,一般,信息实用性,(空)
108,2025/4/1 14:49:31,212秒,微信,N/A,223.104.228.182(天津-天津),男,26-35岁,企业职员,8000-15000元,1-3小时,非常了解,微信公众号,比较吸引,经常互动(点赞、评论、分享等),点赞┋分享到个人社交圈┋私信交流,一般,专业性强┋环保可持续,一些,否,(跳过),价格过高┋品牌吸引力不足,比较满意,与用户互动性┋创意和设计感┋信息实用性,无
109,2025/4/1 14:53:10,171秒,微信,N/A,223.104.228.161(天津-天津),女,18-25岁,学生,3000元以下,5小时以上,略有了解,微博┋抖音/快手,一般,从未互动,点赞┋评论,一般,高端户外品牌┋专业性强,一些,否,(跳过),价格过高┋不需要相关产品,一般,内容丰富度┋创意和设计感,基本没见过女模特
110,2025/4/1 14:55:48,126秒,微信,N/A,42.80.116.235(天津-天津),女,18-25岁,学生,3000元以下,1-3小时,略有了解,微信公众号┋小红书┋抖音/快手┋朋友推荐┋社交媒体广告(如朋友圈广告),比较吸引,很少互动,观看直播,比较好,高端户外品牌┋专业性强┋价格较高┋环保可持续┋产品设计时尚┋广告／宣传设计时尚,一些,否,(跳过),品牌吸引力不足,比较满意,内容丰富度┋与用户互动性┋创意和设计感┋信息实用性┋发布频率┋客户服务／售后服务,无
111,2025/4/1 14:57:49,92秒,微信,N/A,183.157.162.146(浙江-杭州),男,26-35岁,学生,3000元以下,1-3小时,略有了解,微信公众号┋朋友推荐┋线下店铺,一般,很少互动,点赞,一般,价格较高,一些,否,(跳过),价格过高,一般,与用户互动性,(空)
112,2025/4/1 14:59:46,153秒,微信,N/A,39.152.149.123(辽宁-大连),男,26-35岁,学生,3000元以下,1-3小时,略有了解,微信公众号┋小红书┋抖音/快手┋朋友推荐,一般,从未互动,观看直播,一般,高端户外品牌┋价格较高,较少,否,(跳过),价格过高┋品牌吸引力不足,一般,创意和设计感┋信息实用性,店员挺傲慢，态度一般
113,2025/4/1 15:01:51,102秒,微信,N/A,123.246.45.191(辽宁-大连),男,26-35岁,政府机关工作人员,3000-8000元,5小时以上,略有了解,朋友推荐,完全不吸引,从未互动,其他：,一般,其他：,完全没有,否,(跳过),价格过高┋不需要相关产品,一般,其他：,(空)
114,2025/4/1 15:14:44,80秒,微信,N/A,223.104.87.68(广东-广州),男,26-35岁,政府机关工作人员,8000-15000元,3-5小时,略有了解,微信公众号┋线下店铺,一般,从未互动,参与话题活动,一般,价格较高,一般,否,(跳过),价格过高,一般,创意和设计感,(空)
115,2025/4/1 15:35:13,92秒,微信,N/A,111.164.1.59(天津-天津),女,26-35岁,政府机关工作人员,8000-15000元,1-3小时,略有了解,小红书┋抖音/快手┋品牌宫网┋朋友推荐,比较吸引,偶尔互动,观看直播,一般,高端户外品牌,一般,否,(跳过),价格过高┋不需要相关产品,比较满意,与用户互动性,(空)
